I 50 migliori risultati:
                 folder  k_means_reduction       tp       fp        tn       fn  rand_index  precision    recall  f1_score
75   complete_euclidean                 29  8108538  1956643  11666363  4148871    0.764087   0.805603  0.661521  0.726487
15   complete_euclidean                 28  8088704  1950660  11672346  4168705    0.763552   0.805699  0.659903  0.725549
60   complete_euclidean                 24  8102994  2024859  11598147  4154415    0.761237   0.800070  0.661069  0.723958
65   complete_euclidean                 30  7475962  1013955  12609051  4781447    0.776070   0.880570  0.609914  0.720668
76   centroid_euclidean                 29  8546335  2918014  10704992  3711074    0.743857   0.745471  0.697238  0.720548
144    single_euclidean                 14  8488538  2877517  10745489  3768871    0.743189   0.746832  0.692523  0.718653
9      single_euclidean                 15  8470024  2856266  10766740  3787385    0.743294   0.747820  0.691013  0.718295
47    average_euclidean                 37  8245545  2476467  11146539  4011864    0.749296   0.769030  0.672699  0.717646
187   average_euclidean                 40  8246847  2479212  11143794  4010562    0.749240   0.768861  0.672805  0.717633
147   average_euclidean                 42  8244923  2481684  11141322  4012486    0.749070   0.768642  0.672648  0.717448
87    average_euclidean                 41  8244923  2481684  11141322  4012486    0.749070   0.768642  0.672648  0.717448
127   average_euclidean                 36  8237885  2486383  11136623  4019524    0.748617   0.768154  0.672074  0.716909
52    average_euclidean                 38  8093579  2275440  11347566  4163830    0.751191   0.780554  0.660301  0.715409
183      ward_euclidean                 44  8221866  2523203  11099803  4035543    0.746575   0.765176  0.670767  0.714868
38       ward_euclidean                 43  8221866  2523203  11099803  4035543    0.746575   0.765176  0.670767  0.714868
99     single_euclidean                 16  8438001  2934980  10688026  3819408    0.739015   0.741934  0.688400  0.714165
48       ward_euclidean                 37  8048811  2328102  11294904  4208598    0.747427   0.775646  0.656649  0.711204
165  complete_euclidean                 31  7602897  1631278  11991728  4654512    0.757122   0.823343  0.620270  0.707523
55   complete_euclidean                 21  7644745  1783450  11839556  4612664    0.752859   0.810839  0.623684  0.705053
25   complete_euclidean                 32  7513619  1557537  12065469  4743790    0.756521   0.828298  0.612986  0.704559
50   complete_euclidean                 38  7490548  1526904  12096102  4766861    0.756814   0.830672  0.611104  0.704169
185  complete_euclidean                 40  7443689  1475674  12147332  4813720    0.756982   0.834554  0.607281  0.703005
42    average_euclidean                 11  7736332  2017488  11605518  4521077    0.747355   0.793159  0.631156  0.702944
0    complete_euclidean                 33  7450013  1491826  12131180  4807396    0.756603   0.833163  0.607797  0.702856
35   complete_euclidean                 43  7441058  1475968  12147038  4816351    0.756869   0.834478  0.607066  0.702834
85   complete_euclidean                 41  7441067  1476717  12146289  4816342    0.756841   0.834408  0.607067  0.702810
145  complete_euclidean                 42  7441067  1476717  12146289  4816342    0.756841   0.834408  0.607067  0.702810
112   average_euclidean                 12  7736837  2025007  11597999  4520572    0.747084   0.792559  0.631197  0.702734
180  complete_euclidean                 44  7436534  1470986  12152020  4820875    0.756887   0.834860  0.606697  0.702722
130  complete_euclidean                 39  7405359  1430844  12192162  4852050    0.757234   0.838070  0.604154  0.702142
12    average_euclidean                 23  7625371  1840769  11782237  4632038    0.749896   0.805542  0.622103  0.702037
125  complete_euclidean                 36  7431776  1483852  12139154  4825633    0.756206   0.833567  0.606309  0.702004
135  complete_euclidean                 34  7431043  1485037  12137969  4826366    0.756132   0.833443  0.606249  0.701920
45   complete_euclidean                 37  7403641  1435258  12187748  4853768    0.756997   0.837620  0.604014  0.701890
92    average_euclidean                 22  7619842  1839294  11783712  4637567    0.749739   0.805554  0.621652  0.701755
105  complete_euclidean                 35  7431328  1491016  12131990  4826081    0.755912   0.832890  0.606272  0.701739
140  complete_euclidean                 14  7616105  1860926  11762080  4641304    0.748759   0.803638  0.621347  0.700833
186  centroid_euclidean                 40  8711953  3898796   9724210  3545456    0.712360   0.690835  0.710750  0.700651
166  centroid_euclidean                 31  8710707  3898866   9724140  3546702    0.712309   0.690801  0.710648  0.700584
7     average_euclidean                 15  7619980  1878603  11744403  4637429    0.748225   0.802223  0.621663  0.700495
5    complete_euclidean                 15  7619980  1878603  11744403  4637429    0.748225   0.802223  0.621663  0.700495
146  centroid_euclidean                 42  8709922  3900730   9722276  3547487    0.712206   0.690680  0.710584  0.700491
86   centroid_euclidean                 41  8709922  3900730   9722276  3547487    0.712206   0.690680  0.710584  0.700491
36   centroid_euclidean                 43  8709922  3900730   9722276  3547487    0.712206   0.690680  0.710584  0.700491
1    centroid_euclidean                 33  8708211  3901433   9721573  3549198    0.712113   0.690599  0.710445  0.700381
26   centroid_euclidean                 32  8708211  3901433   9721573  3549198    0.712113   0.690599  0.710445  0.700381
126  centroid_euclidean                 36  8702752  3907196   9715810  3554657    0.711680   0.690150  0.709999  0.699934
136  centroid_euclidean                 34  8700735  3909134   9713872  3556674    0.711527   0.689994  0.709835  0.699774
106  centroid_euclidean                 35  8700735  3909134   9713872  3556674    0.711527   0.689994  0.709835  0.699774
175  complete_euclidean                 19  7601684  1920479  11702527  4655725    0.745900   0.798315  0.620171  0.698056
