I 50 migliori risultati:
                 folder  k_means_reduction    tp    fp    tn   fn  rand_index  precision    recall  f1_score
77    average_euclidean                 20  3226   530  6970  449    0.912394   0.858892  0.877823  0.868255
117   average_euclidean                110  3114   850  6650  561    0.873736   0.785570  0.847347  0.815290
65   complete_euclidean                 35  3054   790  6710  621    0.873736   0.794485  0.831020  0.812342
33       ward_euclidean                125  3054   790  6710  621    0.873736   0.794485  0.831020  0.812342
71   centroid_euclidean                 12  3099   900  6600  576    0.867919   0.774944  0.843265  0.807662
72    average_euclidean                 12  3099   900  6600  576    0.867919   0.774944  0.843265  0.807662
70   complete_euclidean                 12  3099   900  6600  576    0.867919   0.774944  0.843265  0.807662
108      ward_euclidean                140  3052   834  6666  623    0.869620   0.785383  0.830476  0.807301
32    average_euclidean                125  3065   866  6634  610    0.867919   0.779700  0.834014  0.805943
105  complete_euclidean                140  3065   866  6634  610    0.867919   0.779700  0.834014  0.805943
107   average_euclidean                140  3065   866  6634  610    0.867919   0.779700  0.834014  0.805943
85   complete_euclidean                 65  3065   866  6634  610    0.867919   0.779700  0.834014  0.805943
5    complete_euclidean                151  3065   866  6634  610    0.867919   0.779700  0.834014  0.805943
7     average_euclidean                151  3065   866  6634  610    0.867919   0.779700  0.834014  0.805943
27    average_euclidean                 11  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
22    average_euclidean                  8  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
96   centroid_euclidean                  9  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
97    average_euclidean                  9  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
99     single_euclidean                  9  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
25   complete_euclidean                 11  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
24     single_euclidean                  8  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
21   centroid_euclidean                  8  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
15   complete_euclidean                 10  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
17    average_euclidean                 10  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
20   complete_euclidean                  8  3050   914  6586  625    0.862282   0.769425  0.829932  0.798534
95   complete_euclidean                  9  3050   914  6586  625    0.862282   0.769425  0.829932  0.798534
82    average_euclidean                 13  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
90   complete_euclidean                 14  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
91   centroid_euclidean                 14  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
92    average_euclidean                 14  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
81   centroid_euclidean                 13  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
12    average_euclidean                 15  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
10   complete_euclidean                 15  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
76   centroid_euclidean                 20  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
11   centroid_euclidean                 15  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
80   complete_euclidean                 13  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
118      ward_euclidean                110  3050   968  6532  625    0.857450   0.759084  0.829932  0.792929
3        ward_euclidean                 95  3050   968  6532  625    0.857450   0.759084  0.829932  0.792929
43       ward_euclidean                 80  3050   968  6532  625    0.857450   0.759084  0.829932  0.792929
50   complete_euclidean                 18  3066  1050  6450  609    0.851544   0.744898  0.834286  0.787062
51   centroid_euclidean                 18  3066  1050  6450  609    0.851544   0.744898  0.834286  0.787062
52    average_euclidean                 18  3066  1050  6450  609    0.851544   0.744898  0.834286  0.787062
55   complete_euclidean                 16  3066  1050  6450  609    0.851544   0.744898  0.834286  0.787062
101  centroid_euclidean                  7  3066  1050  6450  609    0.851544   0.744898  0.834286  0.787062
38       ward_euclidean                 50  3066  1050  6450  609    0.851544   0.744898  0.834286  0.787062
100  complete_euclidean                  7  3066  1050  6450  609    0.851544   0.744898  0.834286  0.787062
57    average_euclidean                 16  3066  1050  6450  609    0.851544   0.744898  0.834286  0.787062
102   average_euclidean                  7  3066  1050  6450  609    0.851544   0.744898  0.834286  0.787062
104    single_euclidean                  7  3066  1050  6450  609    0.851544   0.744898  0.834286  0.787062
112   average_euclidean                 19  3066  1050  6450  609    0.851544   0.744898  0.834286  0.787062
