I 20 migliori risultati:
                folder  k_means_reduction    tp    fp    tn   fn  rand_index  precision    recall  f1_score
38   average_euclidean                 12  3099   900  6600  576    0.867919   0.774944  0.843265  0.807662
37  centroid_euclidean                 12  3099   900  6600  576    0.867919   0.774944  0.843265  0.807662
36  complete_euclidean                 12  3099   900  6600  576    0.867919   0.774944  0.843265  0.807662
0   complete_euclidean                151  3065   866  6634  610    0.867919   0.779700  0.834014  0.805943
2    average_euclidean                151  3065   866  6634  610    0.867919   0.779700  0.834014  0.805943
13  centroid_euclidean                  8  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
49  centroid_euclidean                  9  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
18   average_euclidean                 11  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
16  complete_euclidean                 11  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
15    single_euclidean                  8  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
14   average_euclidean                  8  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
10   average_euclidean                 10  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
51    single_euclidean                  9  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
8   complete_euclidean                 10  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
50   average_euclidean                  9  3086   950  6550  589    0.862282   0.764618  0.839728  0.800415
12  complete_euclidean                  8  3050   914  6586  625    0.862282   0.769425  0.829932  0.798534
48  complete_euclidean                  9  3050   914  6586  625    0.862282   0.769425  0.829932  0.798534
46   average_euclidean                 14  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
45  centroid_euclidean                 14  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
44  complete_euclidean                 14  3075  1000  6500  600    0.856823   0.754601  0.836735  0.793548
