I 50 migliori risultati:
                 folder  k_means_reduction    tp   fp    tn   fn  rand_index  precision    recall  f1_score
157   average_euclidean                 20  3226  530  6970  449    0.912394   0.858892  0.877823  0.868255
80   complete_euclidean                 38  3150  750  6750  525    0.885906   0.807692  0.857143  0.831683
175  complete_euclidean                 39  3150  750  6750  525    0.885906   0.807692  0.857143  0.831683
278      ward_euclidean                143  3101  770  6730  574    0.879732   0.801085  0.843810  0.821892
103      ward_euclidean                101  3101  815  6685  574    0.875705   0.791879  0.843810  0.817020
67    average_euclidean                 37  3114  850  6650  561    0.873736   0.785570  0.847347  0.815290
0    complete_euclidean                 47  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
127   average_euclidean                 41  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
66   centroid_euclidean                 37  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
78       ward_euclidean                125  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
81   centroid_euclidean                 38  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
82    average_euclidean                 38  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
125  complete_euclidean                 41  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
165  complete_euclidean                 36  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
35   complete_euclidean                 28  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
166  centroid_euclidean                 36  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
177   average_euclidean                 39  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
200  complete_euclidean                 42  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
202   average_euclidean                 42  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
260  complete_euclidean                 44  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
270  complete_euclidean                 40  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
272   average_euclidean                 40  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
55   complete_euclidean                 43  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
145  complete_euclidean                 35  3054  790  6710  621    0.873736   0.794485  0.831020  0.812342
213      ward_euclidean                119  3030  766  6734  645    0.873736   0.798209  0.824490  0.811136
205  complete_euclidean                 71  3010  746  6754  665    0.873736   0.801384  0.819048  0.810120
253      ward_euclidean                131  3026  782  6718  649    0.871946   0.794643  0.823401  0.808767
152   average_euclidean                 12  3099  900  6600  576    0.867919   0.774944  0.843265  0.807662
151  centroid_euclidean                 12  3099  900  6600  576    0.867919   0.774944  0.843265  0.807662
150  complete_euclidean                 12  3099  900  6600  576    0.867919   0.774944  0.843265  0.807662
268      ward_euclidean                137  3052  834  6666  623    0.869620   0.785383  0.830476  0.807301
282   average_euclidean                 25  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
22    average_euclidean                151  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
275  complete_euclidean                143  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
277   average_euclidean                143  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
267   average_euclidean                137  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
265  complete_euclidean                137  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
37    average_euclidean                 28  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
100  complete_euclidean                101  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
20   complete_euclidean                151  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
185  complete_euclidean                 65  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
252   average_euclidean                131  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
77    average_euclidean                125  3065  866  6634  610    0.867919   0.779700  0.834014  0.805943
51   centroid_euclidean                  8  3086  950  6550  589    0.862282   0.764618  0.839728  0.800415
60   complete_euclidean                 11  3086  950  6550  589    0.862282   0.764618  0.839728  0.800415
198      ward_euclidean                113  3086  950  6550  589    0.862282   0.764618  0.839728  0.800415
224    single_euclidean                  9  3086  950  6550  589    0.862282   0.764618  0.839728  0.800415
222   average_euclidean                  9  3086  950  6550  589    0.862282   0.764618  0.839728  0.800415
54     single_euclidean                  8  3086  950  6550  589    0.862282   0.764618  0.839728  0.800415
52    average_euclidean                  8  3086  950  6550  589    0.862282   0.764618  0.839728  0.800415
